Bank_Group,Month_Year,Year,Aggregate_Deposits_Cr,Bank_Credit_Cr
Nationalised Banks,Mar-2017,2017,4973491.39442,3502663.24383
Nationalised Banks,Mar-2016,2016,4501921.65324,3360111.27836
Nationalised Banks,Mar-2015,2015,4329630.32984,3220831.71592
Nationalised Banks,Mar-2014,2014,4024893.5138,3001827.48547
Nationalised Banks,Mar-2013,2013,3501431.8223,2634654.1629
Nationalised Banks,Mar-2012,2012,3101528.4247,2372893.0279
Nationalised Banks,Mar-2011,2011,2707817.1944,2038526.0556
Nationalised Banks,Mar-2010,2010,2310045.5035,1664160.3687
Nationalised Banks,Mar-2009,2009,1884495.6967,1383133.2071
Nationalised Banks,Mar-2008,2008,1545471.7699,1136093.0917
Nationalised Banks,Mar-2007,2007,1264709.6284,918668.6019
Nationalised Banks,Mar-2006,2006,1021566.9153,717469.8437
Nationalised Banks,Mar-2005,2005,827318.2308,521978.1587
SBI & Associates,Mar-2017,2017,2490905.42735,1666814.93088
SBI & Associates,Mar-2016,2016,2148463.71635,1579305.69008
SBI & Associates,Mar-2015,2015,1902489.07919,1414329.74169
SBI & Associates,Mar-2014,2014,1705066.1978,1350739.1651
SBI & Associates,Mar-2013,2013,1524829.60044,1201644.5108
SBI & Associates,Mar-2012,2012,1313695.113,1021479.1129
SBI & Associates,Mar-2011,2011,1164666.3588,881881.507
SBI & Associates,Mar-2010,2010,1034889.305,749977.1736
SBI & Associates,Mar-2009,2009,940506.0461,635578.2779
SBI & Associates,Mar-2008,2008,728054.5588,534056.5073
SBI & Associates,Mar-2007,2007,585444.353,444170.9522
SBI & Associates,Mar-2006,2006,501864.1932,351109.9193
SBI & Associates,Mar-2005,2005,440428.7177,259950.3309
Private Sector Banks,Mar-2025,2025,7687803.32142002,7303420.78771229
Private Sector Banks,Mar-2024,2024,6884931.21111,6705697.70954999
Private Sector Banks,Mar-2023,2023,5719480.88387,5180015.69022
Private Sector Banks,Mar-2022,2022,5029745.02553,4396035.68701
Private Sector Banks,Mar-2021,2021,4464918.45222,3896484.99002
Private Sector Banks,Mar-2020,2020,3900230.40247,3601065.73489
Private Sector Banks,Mar-2019,2019,3594355.25126,3258057.3822
Private Sector Banks,Mar-2018,2018,2876756.80085,2529791.30448
Private Sector Banks,Mar-2017,2017,2478135.61923,2103311.1447
Private Sector Banks,Mar-2016,2016,1946606.7164,1739626.81243
Private Sector Banks,Mar-2015,2015,1656003.2978,1395515.18003
Private Sector Banks,Mar-2014,2014,1416058.92622,1188786.08076
Private Sector Banks,Mar-2013,2013,1247747.86613,1030907.16715
Private Sector Banks,Mar-2012,2012,1054283.8515,874234.868
Private Sector Banks,Mar-2011,2011,936206.1976,729152.6134
Private Sector Banks,Mar-2010,2010,777438.0493,584703.7194
Private Sector Banks,Mar-2009,2009,692513.0407,523491.6942
Private Sector Banks,Mar-2008,2008,640991.3309,471478.9603
Private Sector Banks,Mar-2007,2007,534570.37,393177.9143
Private Sector Banks,Mar-2006,2006,409517.7755,304227.7434
Private Sector Banks,Mar-2005,2005,296470.6297,212725.643
Foreign Banks,Mar-2025,2025,1119265.02919311,604605.61422795
Foreign Banks,Mar-2024,2024,989038.98354,534939.76515
Foreign Banks,Mar-2023,2023,862260.85259,495813.85291
Foreign Banks,Mar-2022,2022,861787.47699,484659.73393
Foreign Banks,Mar-2021,2021,768871.93599,434223.33275
Foreign Banks,Mar-2020,2020,692621.46587,431608.89381
Foreign Banks,Mar-2019,2019,560672.95103,403243.59465
Foreign Banks,Mar-2018,2018,475897.38802,359325.25187
Foreign Banks,Mar-2017,2017,449216.17438,337793.71038
Foreign Banks,Mar-2016,2016,436543.50828,373459.7319
Foreign Banks,Mar-2015,2015,390936.11107,331771.35443
Foreign Banks,Mar-2014,2014,338917.56254,300692.39929
Foreign Banks,Mar-2013,2013,280022.07993,263316.46423
Foreign Banks,Mar-2012,2012,266182.0255,232115.6752
Foreign Banks,Mar-2011,2011,242577.5724,197897.0184
Foreign Banks,Mar-2010,2010,234638.7459,166861.0535
Foreign Banks,Mar-2009,2009,202766.6458,169335.0478
Foreign Banks,Mar-2008,2008,188009.7534,162867.5999
Foreign Banks,Mar-2007,2007,145588.9822,126751.7062
Foreign Banks,Mar-2006,2006,111904.6728,98219.1649
Foreign Banks,Mar-2005,2005,77695.0988,74122.8183
Regional Rural Banks,Mar-2025,2025,674870.577016,507007.058589
Regional Rural Banks,Mar-2024,2024,626068.1121,459127.8746
Regional Rural Banks,Mar-2023,2023,572937.456,400326.1686
Regional Rural Banks,Mar-2022,2022,533216.1906,356929.0356
Regional Rural Banks,Mar-2021,2021,499191.6188,331592.5365
Regional Rural Banks,Mar-2020,2020,460554.4254,293574.9702
Regional Rural Banks,Mar-2019,2019,422157.1996,276358.9033
Regional Rural Banks,Mar-2018,2018,383818.2364,245374.6913
Regional Rural Banks,Mar-2017,2017,362771.4692,223714.2133
Regional Rural Banks,Mar-2016,2016,293754.3757,197111.4227
Regional Rural Banks,Mar-2015,2015,254226.2934,173972.4953
Regional Rural Banks,Mar-2014,2014,220623.802,152050.6723
Regional Rural Banks,Mar-2013,2013,196422.2883,129936.3113
Regional Rural Banks,Mar-2012,2012,173392.7719,111129.1967
Regional Rural Banks,Mar-2011,2011,156701.9278,94625.4962
Regional Rural Banks,Mar-2010,2010,135814.2009,79085.879
Regional Rural Banks,Mar-2009,2009,113828.153,64011.1275
Regional Rural Banks,Mar-2008,2008,94411.857,57417.4355
Regional Rural Banks,Mar-2007,2007,81620.0311,48420.1112
Regional Rural Banks,Mar-2006,2006,64195.1563,36050.4076
Regional Rural Banks,Mar-2005,2005,58285.7827,31651.4468
State Co-operative Banks,Mar-2025,2025,219975.8834,297425.605
State Co-operative Banks,Mar-2024,2024,215539.7617,278146.5377
State Co-operative Banks,Mar-2023,2023,204432.2821,255749.7404
State Co-operative Banks,Mar-2022,2022,211784.2112,228193.7977
State Co-operative Banks,Mar-2021,2021,197751.1492,206322.304
State Co-operative Banks,Mar-2020,2020,187455.7891,194310.4853
State Co-operative Banks,Mar-2019,2019,110559.4978,131398.7928
State Co-operative Banks,Mar-2018,2018,98767.8242,117989.0246
State Co-operative Banks,Mar-2017,2017,90276.8797,110933.6191
State Co-operative Banks,Mar-2016,2016,79563.7822,107360.034
State Co-operative Banks,Mar-2015,2015,77232.9304,103797.8835
State Co-operative Banks,Mar-2014,2014,77668.3514,93871.4715
State Co-operative Banks,Mar-2013,2013,71463.1644,85307.3638
State Co-operative Banks,Mar-2012,2012,64021.8509,69416.4761
State Co-operative Banks,Mar-2011,2011,59384.8338,58697.8253
State Co-operative Banks,Mar-2010,2010,65175.0442,43349.9833
State Co-operative Banks,Mar-2009,2009,52567.9449,42371.9273
State Co-operative Banks,Mar-2008,2008,42396.1918,46886.2213
State Co-operative Banks,Mar-2007,2007,36544.0832,44662.6146
State Co-operative Banks,Mar-2006,2006,35431.0187,37567.4242
State Co-operative Banks,Mar-2005,2005,34111.5775,34549.4218
Urban Co-operative Banks,Mar-2025,2025,254909.994597,166887.57606
Urban Co-operative Banks,Mar-2024,2024,241300.921509,156025.819887
Urban Co-operative Banks,Mar-2023,2023,229330.736055,147275.854365
Urban Co-operative Banks,Mar-2022,2022,222536.670561,139540.051977
Urban Co-operative Banks,Mar-2021,2021,228888.48047,141183.077753
Urban Co-operative Banks,Mar-2020,2020,220602.949381,140165.205613
Urban Co-operative Banks,Mar-2019,2019,217247.573102,144003.62114
Urban Co-operative Banks,Mar-2018,2018,203722.81362,135113.509097
Urban Co-operative Banks,Mar-2017,2017,200638.396011,129380.637297
Urban Co-operative Banks,Mar-2016,2016,168780.9715,111987.5508
Urban Co-operative Banks,Mar-2015,2015,154605.1515,102467.3749
Urban Co-operative Banks,Mar-2014,2014,136856.06,91518.2461
Urban Co-operative Banks,Mar-2013,2013,120078.2917,82375.2264
Urban Co-operative Banks,Mar-2012,2012,104689.3253,72514.252
Urban Co-operative Banks,Mar-2011,2011,87805.741,60061.6324
Urban Co-operative Banks,Mar-2010,2010,77223.7036,49521.9917
Urban Co-operative Banks,Mar-2009,2009,65925.7201,41632.6412
Urban Co-operative Banks,Mar-2008,2008,57738.634,38846.2498
Urban Co-operative Banks,Mar-2007,2007,46200.4141,32756.2181
Urban Co-operative Banks,Mar-2006,2006,41329.9681,28136.8193
Urban Co-operative Banks,Mar-2005,2005,36588.0108,24226.0726
Small Finance Banks,Mar-2025,2025,252989.122992,269889.802769
Small Finance Banks,Mar-2024,2024,203922.29077,226684.547
Small Finance Banks,Mar-2023,2023,151425.5251,184998.6985
Small Finance Banks,Mar-2022,2022,113773.54259,136416.38568
Small Finance Banks,Mar-2021,2021,84910.31631,109239.179
Small Finance Banks,Mar-2020,2020,61502.10958,91396.67129
Small Finance Banks,Mar-2019,2019,37530.32201,61112.49847
Small Finance Banks,Mar-2018,2018,16278.30901,34492.09389
Small Finance Banks,Mar-2017,2017,3136.0551,7168.759
Payment Banks,Mar-2025,2025,25176.521066,-
Payment Banks,Mar-2024,2024,15671.93291,-
Payment Banks,Mar-2023,2023,13663.86488,0.021
Payment Banks,Mar-2022,2022,9665.90361,1.795
